"Name";"Age";"Length";"Width";"Draft";"DWT";"GT";"Engine";"Speed";"Consumption";"Hotel Consumption";"Bunker Capacity";"Draft Empty";"Draft Tropic";"Draft WNA";"Ice Class";"Bi Fuel";"Cargo Volume";"Holds";"Opening Length";"Opening Width";"Floor Strength";"Cranes";"Maintenance";"Insurance";"Crew Wage";"Administration";"Total OPEX";"Available In";"Available At";"Time Until Docking";"Vessel Price";"Fuel Value";"Spare Parts Value";"Sundry Value";"Broker Fee";"Total Price"
"Svenner";4;189.99;32.26;12.95;58000;32837;9960;14.3;36.6;2.2;2106;3.37;13.22;12.68;FALSE;FALSE;71550;5;24;19.36;10;4;440597;191611;598812;212521;1443541;0;"Mina Saqr";654;37800844;168480;1269431;423144;756017;40417916
"Swan Arrow";27;199.9;30.59;11.72;45295;28805;8076;14.6;29.7;1.8;1248;3.16;11.96;11.48;TRUE;FALSE;50996;11;23.32;10.71;20;2;438094;498795;687072;165968;1789929;0;"Melbourne";559;6408588;99840;686634;228878;128172;7552112
"Tai Gu Hai";29;186.2;28.4;11.24;37393;22050;9179;14;29.6;2.38;1632;3.03;11.47;11.01;FALSE;FALSE;46940;5;16.8;13.6;20;4;433461;424349;687072;137014;1681896;0;"Corpus Christi";14;4653680;130560;615928;205309;93074;5698551
"Temira";26;215.4;31.86;12.25;52975;30596;10076;14.25;37;1.23;1444;3.19;12.51;11.99;FALSE;FALSE;62904;8;12.8;16.7;10;0;439156;591449;687072;194109;1911786;0;"Port-Gentil";481;7927480;115520;775514;258505;158550;9235569
"Thepsu";30;162.52;25.25;10.64;27468;15575;4854;13.5;17.8;2.38;1302;2.87;10.86;10.42;FALSE;FALSE;32532;4;22.4;12.6;15;4;427504;315562;687072;100647;1530785;0;"Cape Town";393;4389665;104160;658450;219483;87793;5459551
"Thetis";10;225;32.26;14;73624;40160;10223;14;37.5;1.23;2124;3.64;14.29;13.71;FALSE;FALSE;90622;7;15.5;15;10;0;442960;303323;687072;269769;1703124;0;"Dunkirk";540;32872630;169920;1344789;448263;657453;35493055
"Thor Dynamic";23;185.84;30.4;11.32;43497;25905;7120;14;26.1;2.38;1055;3.06;11.56;11.08;FALSE;FALSE;53595;5;20.8;15.3;15;4;435563;359364;687072;159380;1641379;0;"Izmir";29;12114186;84400;939894;313298;242284;13694062
"Tian Li Hai";4;270;44;17.52;148726;79480;14300;14;52.5;1.23;1885;4.03;17.89;17.16;FALSE;FALSE;167400;9;14.4;19.8;10;0;453040;504243;687072;544954;2189309;0;"Cork";531;54487937;150800;1829819;609940;1089759;58168255
"Tian Sheng 17";23;244.8;41.23;14.42;97728;60139;13130;14.8;48.2;1.47;2714;3.61;14.72;14.12;FALSE;FALSE;84170;5;13.65;17.76;15;0;449656;981774;847596;358090;2637116;0;"Kashima";277;5705049;217120;442633;147544;114101;6626447
"Timberland";14;153.22;23.6;9.72;20406;13066;8250;15.5;26.8;1.62;1261;2.72;9.92;9.52;FALSE;FALSE;24425;5;24.96;20.6;20;2;429744;106335;598812;74771;1209662;0;"San Vicente";342;13332607;100880;638263;212754;266652;14551156
"Tomi Orient";6;224.94;32.3;14.14;76636;39737;10320;14.8;37.9;1.04;2007;3.54;14.43;13.85;FALSE;FALSE;90741;7;18;16.7;20;0;446171;248125;598812;280806;1573914;0;"Pasir Gudang";659;35880080;160560;1281431;427144;717602;38466817
"Tong Ying";25;229.75;32.21;12.6;66758;36131;8649;14;31.8;2.5;1663;3.28;12.86;12.34;FALSE;FALSE;77364;7;14.4;14.4;10;4;441574;660767;771960;244611;2118912;0;"Portland";402;4697342;133040;422761;140920;93947;5488010
"Tonghai";15;187.5;31;11.77;47980;27176;6877;14.5;25.3;2.2;1068;3.18;12.02;11.52;FALSE;FALSE;59445;5;20.25;16;15;4;438582;234738;598812;175806;1447938;0;"Shanghai";167;21851238;85440;1092562;364187;437025;23830452
"Trump SW";6;139.92;25;8.5;18978;11743;5180;13;15.1;1.79;949;2.38;8.68;8.32;FALSE;FALSE;23160;4;22.48;18.75;20;3;420714;63215;513924;69538;1067391;0;"Hai Phong";677;16043709;75920;572990;190997;320874;17204490
"Tzarevetz";16;168.58;25;8.51;21470;13965;5884;13.5;18.3;1.91;1000;2.38;8.69;8.33;FALSE;FALSE;24950;5;18.6;14.3;10;3;424147;128080;598812;78669;1229708;0;"Tallinn";50;12670098;80000;662970;220990;253402;13887460
"UBC Singapore";12;171.67;27;10.42;31759;19746;7061;14.5;25.9;2.2;1133;2.81;10.64;10.2;FALSE;FALSE;41285;5;21;22.9;15;4;432829;143019;598812;116370;1291030;0;"San Vicente";26;20971972;90640;925234;308411;419439;22715696
"Universe Forest";30;157.26;23.04;9.91;22828;13881;4780;13.75;17.6;2.38;717;2.77;10.12;9.7;FALSE;FALSE;30172;4;24.8;12.4;10;4;425835;281240;687072;83645;1477792;0;"Newcastle";685;4083458;57360;612519;204173;81669;5039179
"Valente Angel";7;169.3;27.2;9.78;28534;16960;5850;14;21.5;2.07;804;2.64;9.98;9.58;FALSE;FALSE;37525;5;19.2;17.6;10;4;429726;95096;513924;104553;1143299;0;"Mumbai";227;22173931;64320;817891;272630;443479;23772251
"Venceremos";30;224.98;32.26;12.94;63671;34837;9738;13;33.8;1.35;1246;3.36;13.21;12.67;FALSE;FALSE;75460;7;16;15.4;15;0;437329;832998;771960;233301;2275588;0;"Tallinn";471;1591775;99680;238766;79589;31836;2041646
"Vinalines Star";25;167.2;26.03;9.52;26456;15884;5737;14.4;21.1;2.38;850;2.57;9.72;9.32;TRUE;FALSE;33920;5;19.2;13.1;10;4;429988;246606;687072;96939;1460605;0;"Cape Town";357;8662088;68000;779588;259863;173242;9942781
"Voge Fiesta";17;181;26;10.03;29516;19354;6400;14.5;23.5;2.48;1054;2.71;10.24;9.82;FALSE;FALSE;36310;5;25.16;22.46;20;5;431816;188503;598812;108151;1327282;0;"San Antonio";181;15362620;84320;843071;281024;307252;16878287
"Western Endeavour";26;88.2;17.5;3.71;3630;2754;2402;10;2.3;0.68;219;1.08;3.79;3.63;TRUE;FALSE;2283;1;31.8;8.5;10;0;386904;45176;394476;13301;839857;0;"Izmir";57;1906200;17520;186476;62159;38124;2210479
"Winner";30;293;44.58;15;145143;74743;15004;14.75;55.1;1.47;2436;3.45;15.31;14.69;FALSE;FALSE;80733;3;24;12.6;10;0;455220;1967467;847596;531826;3802109;0;"Hai Phong";399;3628575;194880;544286;181429;72572;4621742
"Winning Integrity";14;289;45;17.81;172571;87363;14710;14.95;54;1.35;2921;3.92;18.18;17.44;FALSE;FALSE;191718;9;15.2;20.6;10;0;458400;909655;771960;632327;2772342;0;"Sihanoukville";83;4314275;233680;206534;68845;86286;4909620
"Winning Joy";15;289;45;17.81;172964;87417;15403;14.95;56.6;1.35;1894;3.92;18.18;17.44;FALSE;FALSE;191583;9;15.2;20.6;20;0;458433;967512;771960;633766;2831671;0;"Port-Gentil";122;4324100;151520;216205;72068;86482;4850375
"Wo Long Song";4;179.5;27.24;10.5;27000;20619;8250;15.1;29.9;2.07;1006;2.84;10.72;10.28;FALSE;FALSE;40420;5;25.74;23.6;20;4;432434;103896;513924;98932;1149186;0;"Kashima";86;22386963;80480;751801;250600;447739;23917583
"Xin Da Jiang";30;189;31.25;10.92;41634;26736;7392;13.5;27.1;2.38;1304;2.95;11.15;10.69;FALSE;FALSE;54390;5;16.9;14;15;4;433231;541692;687072;152553;1814548;0;"Kolkata";557;2847550;104320;427133;142378;56951;3578332
"Xin Lu Sheng 3";7;149.18;21;8.65;17087;10740;2942;12;10.8;0.92;788;2.42;8.83;8.47;FALSE;FALSE;24000;4;24.8;15.75;15;0;415511;60220;513924;62610;1052265;0;"Marseille";419;14624685;63040;539435;179812;292494;15699466
"Yo-1";27;224.95;32.26;12.92;64850;35560;7432;14;27.3;1.35;1191;3.36;13.19;12.65;FALSE;FALSE;76069;7;17.6;14.4;20;0;441165;725946;771960;237620;2176691;0;"Tallinn";497;1621250;95280;173705;57902;32425;1980562
"Yo-2";29;265.57;40.48;15.4;122829;64303;15951;15.76;58.6;1.47;3078;3.7;15.72;15.08;FALSE;FALSE;134946;9;16.2;13.7;10;0;455931;1606911;847596;450064;3360502;0;"Hai Phong";468;3070725;246240;406419;135473;61415;3920272
"Yong Xu Hai";26;224;32.2;13.29;68200;36120;7205;14;26.5;1.35;840;3.46;13.57;13.01;FALSE;FALSE;81340;7;17.6;14.4;10;0;441877;698234;771960;249895;2161966;0;"Walvis Bay";389;1705000;67200;166793;55598;34100;2028691
"Zhe Hai 126";29;159.44;26.04;9.9;25660;14814;4707;14;17.3;1.23;1100;2.67;10.11;9.69;FALSE;FALSE;32016;4;21.6;12.8;15;0;428269;285093;687072;94022;1494456;0;"Gijon";193;5228695;88000;692033;230678;104574;6343980
"Zhe Hai 323";19;160;22.05;8.82;18392;12516;4928;13.5;16.5;2.2;1185;2.47;9;8.64;FALSE;FALSE;23865;5;16;11.2;10;4;422051;137420;598812;67391;1225674;0;"Sihanoukville";712;10035321;94800;610256;203419;200706;11144502
"Zhen Fen 10";29;164;22;9.8;20420;12827;6620;15;24.3;1.23;990;2.74;10;9.6;FALSE;FALSE;25565;5;14.04;12.8;10;0;428288;246854;687072;74822;1437036;0;"Walvis Bay";571;4696682;79200;621620;207207;93934;5698643
"Zong He 3";29;174.93;27.01;10.12;29105;17999;6252;14;23;2.38;799;2.73;10.33;9.91;FALSE;FALSE;37336;4;25.6;14.4;20;4;429998;346388;687072;106646;1570104;0;"Batumi";89;5194161;63920;687462;229154;103883;6278580
"Zulal";30;160;24.44;9.93;23911;11147;4759;14;17.5;2.09;904;2.78;10.14;9.72;FALSE;FALSE;30548;4;19.2;12.8;10;3;427302;225847;687072;87614;1427835;0;"Wilhelmshaven";467;4065484;72320;609823;203274;81310;5032211
